accession	assembly_name	strain	isolate	scientific_name
GCA_056405015	ASM5640501v1	P2_A4		Mucilaginibacter sp. P2_A4
GCA_056405035	ASM5640503v1	P2_A3		Pedococcus sp. P2_A3
GCA_056405055	ASM5640505v1	P2_A2		Bradyrhizobium sp. P2_A2
GCA_056405075	ASM5640507v1	P2_A12		Mesorhizobium sp. P2_A12
GCA_056405095	ASM5640509v1	P2_A11		Burkholderiaceae bacterium P2_A11
GCA_056405115	ASM5640511v1	P2_A10		Allobosea sp. P2_A10
GCA_056405135	ASM5640513v1	P1_H9		Devosia sp. P1_H9
GCA_056405155	ASM5640515v1	P2_A1		Bradyrhizobium sp. P2_A1
GCA_056405175	ASM5640517v1	P1_H8		Pedococcus sp. P1_H8
GCA_056405195	ASM5640519v1	P1_H6		Polaromonas sp. P1_H6
GCA_056405215	ASM5640521v1	P1_H7		Arthrobacter sp. P1_H7
GCA_056405235	ASM5640523v1	P1_H5		Polaromonas sp. P1_H5
GCA_056405255	ASM5640525v1	P1_H4		Agromyces sp. P1_H4
GCA_056405275	ASM5640527v1	P1_H3		Polaromonas sp. P1_H3
GCA_056405295	ASM5640529v1	P1_H2		Variovorax sp. P1_H2
GCA_056405315	ASM5640531v1	P1_H12		Polaromonas sp. P1_H12
GCA_056405335	ASM5640533v1	P1_H12_2		Variovorax sp. P1_H12_2
GCA_056405355	ASM5640535v1	P1_H10		Mesorhizobium sp. P1_H10
GCA_056405375	ASM5640537v1	P1_H1		Polaromonas sp. P1_H1
GCA_056405395	ASM5640539v1	P1_G9		Azonexus sp. P1_G9
GCA_056405415	ASM5640541v1	P1_G7		Polaromonas sp. P1_G7
GCA_056405435	ASM5640543v1	P1_G5		Rhizobacter sp. P1_G5
GCA_056405455	ASM5640545v1	P1_G6		Polaromonas sp. P1_G6
GCA_056405475	ASM5640547v1	P1_G4		Polaromonas sp. P1_G4
GCA_056405495	ASM5640549v1	P1_G3		Polaromonas sp. P1_G3
GCA_056405515	ASM5640551v1	P1_G2		Polaromonas sp. P1_G2
GCA_056405535	ASM5640553v1	P1_G12_2		Cellulomonas sp. P1_G12_2
GCA_056405555	ASM5640555v1	P1_G12		Variovorax sp. P1_G12
GCA_056405575	ASM5640557v1	P1_G10		Pseudomonas sp. P1_G10
GCA_056405595	ASM5640559v1	P1_G1		Polaromonas sp. P1_G1
GCA_056405615	ASM5640561v1	P1_F9		Polaromonas sp. P1_F9
GCA_056405635	ASM5640563v1	P1_F8		Polaromonas sp. P1_F8
