accession	assembly_name	strain	isolate	scientific_name
GCA_056402575	ASM5640257v1	P4_A10		Mucilaginibacter sp. P4_A10
GCA_056402595	ASM5640259v1	P3_C6		Sphingomonas sp. P3_C6
GCA_056402615	ASM5640261v1	P3_C7		Pedococcus sp. P3_C7
GCA_056402635	ASM5640263v1	P3_C5		Sphingomonas sp. P3_C5
GCA_056402655	ASM5640265v1	P3_C3		Bradyrhizobium sp. P3_C3
GCA_056402675	ASM5640267v1	P3_C2		Polaromonas sp. P3_C2
GCA_056402695	ASM5640269v1	P3_C4		Rhizobacter sp. P3_C4
GCA_056402715	ASM5640271v1	P3_C11		Arthrobacter sp. P3_C11
GCA_056402735	ASM5640273v1	P3_C12		Rhizobacter sp. P3_C12
GCA_056402755	ASM5640275v1	P3_C1		Pedococcus sp. P3_C1
GCA_056402775	ASM5640277v1	P3_B8		Rhodococcus sp. P3_B8
GCA_056402795	ASM5640279v1	P3_B6		Azonexus sp. P3_B6
GCA_056402815	ASM5640281v1	P3_B5		Mesorhizobium sp. P3_B5
GCA_056402835	ASM5640283v1	P3_B4		Polaromonas sp. P3_B4
GCA_056402855	ASM5640285v1	P3_B3		Ideonella sp. P3_B3
GCA_056402875	ASM5640287v1	P3_B2		Devosia sp. P3_B2
GCA_056402895	ASM5640289v1	P3_B12		Rhizobacter sp. P3_B12
GCA_056402915	ASM5640291v1	P3_B11		Mesorhizobium sp. P3_B11
GCA_056402935	ASM5640293v1	P3_B1		Polaromonas sp. P3_B1
GCA_056402955	ASM5640295v1	P3_B10		Azospirillum sp. P3_B10
GCA_056402975	ASM5640297v1	P3_A9		Mesorhizobium sp. P3_A9
GCA_056402995	ASM5640299v1	P3_A8		Mesorhizobium sp. P3_A8
GCA_056403015	ASM5640301v1	P3_A7		Polaromonas sp. P3_A7
GCA_056403035	ASM5640303v1	P3_A6		Flavobacterium sp. P3_A6
GCA_056403055	ASM5640305v1	P3_A5		Polaromonas sp. P3_A5
GCA_056403075	ASM5640307v1	P3_A4		Ideonella sp. P3_A4
GCA_056403095	ASM5640309v1	P3_A3		Burkholderiaceae bacterium P3_A3
GCA_056403115	ASM5640311v1	P3_A2		Mesorhizobium sp. P3_A2
GCA_056403135	ASM5640313v1	P3_A12		Burkholderiaceae bacterium P3_A12
GCA_056403155	ASM5640315v1	P3_A11		Methylobacterium sp. P3_A11
