accession	assembly_name	strain	isolate	scientific_name
GCA_964253415	LjRoot62v2			Variovorax paradoxus
GCA_964253415	LjRoot62			plant metagenome
GCA_964253435	LjRoot47v2			Knoellia sp. LjRoot47
GCA_964253435	LjRoot47			plant metagenome
GCA_964253445	LjRoot107			plant metagenome
GCA_964253455	LjRoot5v2			Rossellomorea sp. LjRoot5
GCA_964253455	LjRoot5			plant metagenome
GCA_964253465	LjRoot149			plant metagenome
GCA_964253475	LjRoot221v2			Agrobacterium tumefaciens
GCA_964253475	LjRoot221			plant metagenome
GCA_964253485	LjRoot8			plant metagenome
GCA_964253495	LjRoot127v2			Pseudoxanthomonas sp. LjRoot127
GCA_964253495	LjRoot127			plant metagenome
GCA_964253505	LjRoot82			plant metagenome
GCA_964253515	LjRoot52			plant metagenome
GCA_964253525	LjRoot223v2			Paraburkholderia terricola
GCA_964253525	LjRoot223			plant metagenome
GCA_964253535	LjRoot306			plant metagenome
GCA_964253545	LjRoot305			plant metagenome
GCA_964253555	LjRoot164v2			Phenylobacterium sp. LjRoot164
GCA_964253555	LjRoot164			plant metagenome
GCA_964253565	LjRoot268			plant metagenome
GCA_964253575	LjRoot118v2			Acidovorax sp. LjRoot118
GCA_964253575	LjRoot118			plant metagenome
GCA_964253585	LjRoot291			plant metagenome
GCA_964253595	LjRoot79			plant metagenome
GCA_964253605	LjRoot286			plant metagenome
GCA_964253615	LjRoot264			plant metagenome
GCA_964253625	LjRoot145			plant metagenome
GCA_964253635	LjRoot135			plant metagenome
GCA_964253645	LjRoot244v2			Brucella pseudogrignonensis
GCA_964253645	LjRoot244			plant metagenome
GCA_964253655	LjRoot146			plant metagenome
GCA_964253665	LjRoot245v2			Rhizobium leguminosarum
GCA_964253665	LjRoot245			plant metagenome
GCA_964253675	LjRoot152			plant metagenome
GCA_964253685	LjRoot287			plant metagenome
GCA_964253695	LjRoot251v2			Martinezella rhizogenes
GCA_964253695	LjRoot251			plant metagenome
GCA_964253705	LjRoot299			plant metagenome
GCA_964253715	LjRoot252v2			Pseudomonas brassicacearum
GCA_964253715	LjRoot252			plant metagenome
GCA_964253725	LjRoot104v2			Neorhizobium sp. LjRoot104
GCA_964253725	LjRoot104			plant metagenome
