file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710025_1.fastq.gz	FASTQ	DNA	3056954	395917323	2	129.5	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710025_2.fastq.gz	FASTQ	DNA	3056954	396289945	3	129.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710026_1.fastq.gz	FASTQ	DNA	1955881	256418955	2	131.1	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710026_2.fastq.gz	FASTQ	DNA	1955881	256624206	1	131.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710194_1.fastq.gz	FASTQ	DNA	1728239	175498825	3	101.5	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710194_2.fastq.gz	FASTQ	DNA	1728239	175768789	2	101.7	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710196_1.fastq.gz	FASTQ	DNA	1878906	216292937	1	115.1	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710196_2.fastq.gz	FASTQ	DNA	1878906	216495452	1	115.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710197_1.fastq.gz	FASTQ	DNA	1782141	190015533	1	106.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710197_2.fastq.gz	FASTQ	DNA	1782141	190324184	1	106.8	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710198_1.fastq.gz	FASTQ	DNA	936641	88735516	1	94.7	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710198_2.fastq.gz	FASTQ	DNA	936641	89022207	1	95.0	151
