run_accession	sample_alias	host
SRR29710010	Lj_LjSC_ES_low_B4	Lj
SRR29709993	Lj_LjSC_RZ_low_B4	Lj
SRR29710002	Lj_LjSC_NOD_low_B3	Lj
SRR29710319	Lj_HvSC_NOD_low_B2	Lj
SRR29710222	Hv_HvSC_ES_low_B2	Hv
SRR29710348	Hv_HvSC_RZ_high_B2	Hv
