file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710265_1.fastq.gz	FASTQ	DNA	719595	126941146	19	176.4	251
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710266_1.fastq.gz	FASTQ	DNA	2086385	393629212	1	188.7	251
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710267_1.fastq.gz	FASTQ	DNA	141313	25592703	23	181.1	251
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710268_1.fastq.gz	FASTQ	DNA	686750	120813521	19	175.9	251
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710300_1.fastq.gz	FASTQ	DNA	18572	2453756	27	132.1	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710301_1.fastq.gz	FASTQ	DNA	310657	37697180	19	121.3	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710302_1.fastq.gz	FASTQ	DNA	814830	99876485	17	122.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710312_1.fastq.gz	FASTQ	DNA	1824701	220891862	1	121.1	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710313_1.fastq.gz	FASTQ	DNA	1428426	177112152	16	124.0	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710315_1.fastq.gz	FASTQ	DNA	2466666	316868786	15	128.5	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710316_1.fastq.gz	FASTQ	DNA	1775963	225807803	1	127.1	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710317_1.fastq.gz	FASTQ	DNA	7079985	781722437	16	110.4	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710318_1.fastq.gz	FASTQ	DNA	4771676	541386914	1	113.5	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710319_1.fastq.gz	FASTQ	DNA	7061966	840515406	1	119.0	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710320_1.fastq.gz	FASTQ	DNA	6893249	836672508	1	121.4	151
