SRR29710352	Hv_HvSC_ES_low_B3	Hv	11471592
SRR29710222	Hv_HvSC_ES_low_B2	Hv	10337461
SRR29710223	Hv_HvSC_ES_low_B1	Hv	8938000
SRR29710317	Lj_HvSC_NOD_low_B4	Lj	8206413
SRR29710319	Lj_HvSC_NOD_low_B2	Lj	8049550
SRR29710320	Lj_HvSC_NOD_low_B1	Lj	7891075
SRR29710350	Hv_HvSC_ES_low_B4	Hv	6404735
SRR29710318	Lj_HvSC_NOD_low_B3	Lj	5349611
SRR29710302	Lj_LjSC_ES_low_B1	Lj	5121853
SRR29710004	Lj_LjSC_NOD_low_B2	Lj	4761594
SRR29710010	Lj_LjSC_ES_low_B4	Lj	4613515
SRR29709996	Lj_LjSC_RZ_low_B1	Lj	4267997
SRR29710002	Lj_LjSC_NOD_low_B3	Lj	4251663
SRR29710349	Hv_HvSC_RZ_high_B1	Hv	3869345
SRR29710001	Lj_LjSC_NOD_low_B4	Lj	3755153
SRR29709993	Lj_LjSC_RZ_low_B4	Lj	3644217
SRR29710014	Input_LjSC_B4	Input	3521517
SRR29710203	Lj_AtSC_RZ_low_B4	Lj	3477674
SRR29710005	Lj_LjSC_NOD_low_B1	Lj	3184908
SRR29710207	Lj_AtSC_RZ_low_B1	Lj	3120887
SRR29710025	Input_AtSC_B2	Input	3056954
SRR29710348	Hv_HvSC_RZ_high_B2	Hv	2762499
SRR29710315	Lj_HvSC_RZ_high_B2	Lj	2687442
SRR29710019	Input_HvSC_B4	Input	2570922
SRR29710347	Hv_HvSC_RZ_high_B3	Hv	2480247
SRR29710213	Lj_AtSC_ES_low_B3	Lj	2341514
SRR29710212	Lj_AtSC_ES_low_B4	Lj	2320366
SRR29710214	Lj_AtSC_ES_low_B2	Lj	2182480
SRR29710266	R1_Input_LjSC	Input	2086496
SRR29709994	Lj_LjSC_RZ_low_B3	Lj	2083753
SRR29710346	Hv_HvSC_RZ_high_B4	Hv	1984197
SRR29710312	Lj_HvSC_RZ_high_B4	Lj	1963931
SRR29710026	Input_AtSC_B1	Input	1955881
SRR29710023	Input_AtSC_B4	Input	1943242
SRR29709995	Lj_LjSC_RZ_low_B2	Lj	1914833
SRR29710021	Input_HvSC_B2	Input	1895482
SRR29710196	Lj_HvSC_ES_low_B3	Lj	1878908
SRR29710316	Lj_HvSC_RZ_high_B1	Lj	1844064
SRR29710197	Lj_HvSC_ES_low_B2	Lj	1782143
SRR29710194	Lj_HvSC_ES_low_B4	Lj	1728240
SRR29710204	Lj_AtSC_RZ_low_B3	Lj	1727791
SRR29710206	Lj_AtSC_RZ_low_B2	Lj	1641174
SRR29710313	Lj_HvSC_RZ_high_B3	Lj	1557521
SRR29710020	Input_HvSC_B3	Input	1437859
SRR29710022	Input_HvSC_B1	Input	1386028
SRR29710018	Input_LjSC_B1	Input	1378086
SRR29710301	Lj_LjSC_ES_low_B2	Lj	1255881
SRR29710198	Lj_HvSC_ES_low_B1	Lj	936641
SRR29710265	R1_Input_LjSC_2	Input	719718
SRR29710268	R1_Input_AtSC	Input	686881
SRR29710017	Input_LjSC_B2	Input	375276
SRR29710024	Input_AtSC_B3	Input	342298
SRR29710300	Lj_LjSC_ES_low_B3	Lj	174589
SRR29710267	R1_Input_HvSC	Input	141319
SRR29710015	Input_LjSC_B3	Input	132964
SRR29710215	Lj_AtSC_ES_low_B1	Lj	102337
