run_accession	sample_alias	host	pairs	host_pct	phase1_ref_pct
SRR29710010	Lj_LjSC_ES_low_B4	Lj	500000		11.55%
SRR29709993	Lj_LjSC_RZ_low_B4	Lj	500000		45.01%
SRR29710002	Lj_LjSC_NOD_low_B3	Lj	500000		68.10%
SRR29710319	Lj_HvSC_NOD_low_B2	Lj	500000		15.93%
SRR29710222	Hv_HvSC_ES_low_B2	Hv	500000	93.36%	1.57%
SRR29710348	Hv_HvSC_RZ_high_B2	Hv	500000	13.18%	25.55%
